epoch,time,loss
406,2017-05-10 12:59:08.308366,1.23473908176
407,2017-05-10 13:01:24.332098,1.23433127949
408,2017-05-10 13:03:39.668907,1.23339636764
409,2017-05-10 13:05:55.266731,1.2354489162
410,2017-05-10 13:08:10.571086,1.23218667706
411,2017-05-10 13:10:26.211112,1.23644174474
412,2017-05-10 13:12:41.984261,1.23172080713
413,2017-05-10 13:14:57.292962,1.23073590017
414,2017-05-10 13:17:13.868526,1.23171369536
415,2017-05-10 13:19:30.865052,1.23084050019
416,2017-05-10 13:21:46.700677,1.23252574887
417,2017-05-10 13:24:02.346665,1.2306217654
418,2017-05-10 13:26:18.179738,1.23039815383
419,2017-05-10 13:28:33.610750,1.23087826872
420,2017-05-10 13:30:48.923307,1.22853041788
421,2017-05-10 13:33:04.564478,1.22745994738
422,2017-05-10 13:35:20.245214,1.22824470415
423,2017-05-10 13:37:37.279937,1.22645027452
424,2017-05-10 13:39:54.611792,1.22990461802
425,2017-05-10 13:42:10.188125,1.22693495074
426,2017-05-10 13:44:25.293113,1.22851027965
427,2017-05-10 13:46:40.505924,1.22797481656
428,2017-05-10 13:48:55.979729,1.22765039033
429,2017-05-10 13:51:11.749389,1.22530360743
430,2017-05-10 13:53:27.350869,1.22574907239
431,2017-05-10 13:55:42.786446,1.22415441771
432,2017-05-10 13:57:58.732076,1.22464525244
433,2017-05-10 14:00:14.791586,1.22597294162
434,2017-05-10 14:02:30.366547,1.22546209457
435,2017-05-10 14:04:45.578737,1.2266313088
436,2017-05-10 14:07:01.823347,1.2231366233
437,2017-05-10 14:09:17.696372,1.22437642455
438,2017-05-10 14:11:32.731024,1.22452627908
439,2017-05-10 14:13:48.349245,1.22380895608
440,2017-05-10 14:16:03.878937,1.22277365595
441,2017-05-10 14:18:19.817556,1.22292403391
442,2017-05-10 14:20:37.121976,1.221921693
443,2017-05-10 14:22:53.579286,1.2213740666
444,2017-05-10 14:25:10.256603,1.22039241332
445,2017-05-10 14:27:25.306363,1.22247246771
446,2017-05-10 14:29:41.653713,1.22052358852
447,2017-05-10 14:31:58.919821,1.2213190095
448,2017-05-10 14:34:27.063766,1.21846968423
449,2017-05-10 14:36:41.642438,1.21579392048
450,2017-05-10 14:38:56.644348,1.21738041051
451,2017-05-10 14:41:11.817198,1.21737755621
452,2017-05-10 14:43:26.735110,1.21664312777
453,2017-05-10 14:45:42.373972,1.21688757591
454,2017-05-10 14:47:57.543327,1.21582084843
455,2017-05-10 14:50:25.610746,1.21660132364
456,2017-05-10 14:52:41.482716,1.21495871493
457,2017-05-10 14:54:56.254399,1.21511732332
458,2017-05-10 14:57:11.077989,1.21529810082
459,2017-05-10 14:59:25.939000,1.21746651494
460,2017-05-10 15:01:40.602689,1.21534135597
461,2017-05-10 15:03:55.613396,1.21524964824
462,2017-05-10 15:06:10.490374,1.21474778844
463,2017-05-10 15:08:25.270434,1.21398124283
